C1	C2	t	debiased_mean	debiased_std	naive_mean	naive_std
0.125000	0.125000	0.006250	0.2509	0.0318	0.2656	0.0366

0.125000	0.125000	0.012500	0.2513	0.0334	0.2656	0.0366

0.125000	0.125000	0.025000	0.2541	0.0321	0.2656	0.0366

0.125000	0.125000	0.050000	0.2589	0.0361	0.2656	0.0366

0.125000	0.125000	0.100000	0.2584	0.0359	0.2656	0.0366

0.125000	0.125000	0.200000	0.2567	0.0369	0.2656	0.0366

0.125000	0.125000	0.400000	0.2595	0.0373	0.2656	0.0366

0.125000	0.250000	0.006250	0.2522	0.0303	0.2656	0.0366

0.125000	0.250000	0.012500	0.2504	0.0335	0.2656	0.0366

0.125000	0.250000	0.025000	0.2532	0.0329	0.2656	0.0366

0.125000	0.250000	0.050000	0.2576	0.0369	0.2656	0.0366

0.125000	0.250000	0.100000	0.2569	0.0369	0.2656	0.0366

0.125000	0.250000	0.200000	0.2567	0.0368	0.2656	0.0366

0.125000	0.250000	0.400000	0.2589	0.0371	0.2656	0.0366

0.125000	0.500000	0.006250	0.2517	0.0322	0.2656	0.0366

0.125000	0.500000	0.012500	0.2511	0.0356	0.2656	0.0366

0.125000	0.500000	0.025000	0.2511	0.0319	0.2656	0.0366

0.125000	0.500000	0.050000	0.2539	0.0363	0.2656	0.0366

0.125000	0.500000	0.100000	0.2537	0.0360	0.2656	0.0366

0.125000	0.500000	0.200000	0.2532	0.0371	0.2656	0.0366

0.125000	0.500000	0.400000	0.2556	0.0358	0.2656	0.0366

0.125000	1.000000	0.006250	0.2509	0.0339	0.2656	0.0366

0.125000	1.000000	0.012500	0.2509	0.0367	0.2656	0.0366

0.125000	1.000000	0.025000	0.2519	0.0331	0.2656	0.0366

0.125000	1.000000	0.050000	0.2545	0.0360	0.2656	0.0366

0.125000	1.000000	0.100000	0.2543	0.0358	0.2656	0.0366

0.125000	1.000000	0.200000	0.2532	0.0365	0.2656	0.0366

0.125000	1.000000	0.400000	0.2543	0.0388	0.2656	0.0366

0.125000	2.000000	0.006250	0.2498	0.0342	0.2656	0.0366

0.125000	2.000000	0.012500	0.2494	0.0366	0.2656	0.0366

0.125000	2.000000	0.025000	0.2526	0.0308	0.2656	0.0366

0.125000	2.000000	0.050000	0.2543	0.0338	0.2656	0.0366

0.125000	2.000000	0.100000	0.2537	0.0344	0.2656	0.0366

0.125000	2.000000	0.200000	0.2539	0.0346	0.2656	0.0366

0.125000	2.000000	0.400000	0.2545	0.0356	0.2656	0.0366

0.125000	4.000000	0.006250	0.2550	0.0334	0.2656	0.0366

0.125000	4.000000	0.012500	0.2506	0.0380	0.2656	0.0366

0.125000	4.000000	0.025000	0.2567	0.0322	0.2656	0.0366

0.125000	4.000000	0.050000	0.2582	0.0358	0.2656	0.0366

0.125000	4.000000	0.100000	0.2565	0.0365	0.2656	0.0366

0.125000	4.000000	0.200000	0.2567	0.0365	0.2656	0.0366

0.125000	4.000000	0.400000	0.2613	0.0377	0.2656	0.0366

0.125000	8.000000	0.006250	0.2561	0.0362	0.2656	0.0366

0.125000	8.000000	0.012500	0.2537	0.0400	0.2656	0.0366

0.125000	8.000000	0.025000	0.2563	0.0381	0.2656	0.0366

0.125000	8.000000	0.050000	0.2597	0.0414	0.2656	0.0366

0.125000	8.000000	0.100000	0.2582	0.0414	0.2656	0.0366

0.125000	8.000000	0.200000	0.2574	0.0418	0.2656	0.0366

0.125000	8.000000	0.400000	0.2656	0.0409	0.2656	0.0366

0.250000	0.125000	0.006250	0.2498	0.0300	0.2697	0.0357

0.250000	0.125000	0.012500	0.2470	0.0314	0.2697	0.0357

0.250000	0.125000	0.025000	0.2526	0.0335	0.2697	0.0357

0.250000	0.125000	0.050000	0.2539	0.0332	0.2697	0.0357

0.250000	0.125000	0.100000	0.2522	0.0331	0.2697	0.0357

0.250000	0.125000	0.200000	0.2530	0.0332	0.2697	0.0357

0.250000	0.125000	0.400000	0.2565	0.0311	0.2697	0.0357

0.250000	0.250000	0.006250	0.2491	0.0308	0.2697	0.0357

